model,tag,split,backbone,head,forensic_dims,trainable_params,best_epoch,lr,n,auc,ap,brier,accuracy,balanced_accuracy,precision_ai,recall_ai,f1_ai,precision_real,recall_real,f1_real,f1_macro,mcc,fpr,fnr,cm_tn,cm_fp,cm_fn,cm_tp
Forensic-only (logistic regression),forensic_only,logo,unfrozen,-,0,,,,40000,0.7645969510897119,0.7558117683195835,0.2093241791928046,0.675875,0.6806210394267842,0.7605927921859212,0.545406240942904,0.6352716122316933,0.6258795468097794,0.8158358379106643,0.7083436438485592,0.6718076280401262,0.3736443110207994,0.18416416208933567,0.4545937590570959,15744,3554,9411,11291
ConvNeXt-Frozen-Linear (no forensic),frozen_linear_lr1e3,logo,frozen,linear,0,1538,10,0.001,40000,0.9008634828194685,0.8962431389336081,0.15986139333168992,0.76565,0.7713879977270798,0.9091894234937148,0.6079122790068593,0.7286359425660027,0.6896934016362107,0.9348637164473003,0.7937785990848293,0.7612072708254161,0.5701396509367637,0.06513628355269976,0.39208772099314076,18041,1257,8117,12585
ConvNeXt-Frozen-Linear (no forensic),frozen_linear_lr1e4,logo,frozen,linear,0,1538,11,0.0001,40000,0.8932214339888888,0.8860404492074387,0.16668970812506062,0.74945,0.7556494777130373,0.9016849706634572,0.5790261810453097,0.7052006118366867,0.6736688384632666,0.9322727743807648,0.7821493783149291,0.7436749950758079,0.5423816014642339,0.06772722561923515,0.4209738189546904,17991,1307,8715,11987
ConvNeXt-Frozen-MLP (no forensic),frozen_mlp_lr1e3,logo,frozen,mlp,0,296066,3,0.001,40000,0.9439259574688611,0.946203109342274,0.11862568764009475,0.8394,0.8434454482266698,0.9497857862903226,0.7281905129939137,0.8243560999617214,0.7667854774535809,0.9587003834594259,0.8520701883664165,0.838213144164069,0.7015741427146188,0.04129961654057415,0.27180948700608637,18501,797,5627,15075
ConvNeXt-Frozen-MLP (no forensic),frozen_mlp_lr1e4,logo,frozen,mlp,0,296066,12,0.0001,40000,0.9440748071030991,0.9473099709345301,0.1260517419406446,0.82685,0.8315072752782156,0.9544135110172846,0.6988213699159501,0.8068600111544897,0.7490137670074873,0.9641931806404809,0.8430901676483915,0.8249750894014406,0.6829220457627121,0.03580681935951912,0.3011786300840498,18607,691,6235,14467
ConvNeXt-Unfrozen-Linear (no forensic),unfrozen_linear_lr1e4,logo,unfrozen,linear,0,26586626,10,0.0001,40000,0.9867270150498116,0.9878460696882652,0.07073795324953126,0.918525,0.9206200756393885,0.9791243201670055,0.860931310984446,0.9162318468063231,0.8679176033399092,0.9803088402943311,0.9206959484122156,0.9184638976092694,0.8441360529384011,0.01969115970566898,0.13906868901555405,18918,380,2879,17823
ConvNeXt-Unfrozen-MLP (no forensic),unfrozen_mlp_lr1e4,logo,unfrozen,mlp,0,26881154,9,0.0001,40000,0.98402332783012,0.9858545663555083,0.09709179954042492,0.8892,0.8925829260907732,0.9872424532822233,0.796203265384987,0.8814909888229318,0.8189581187778922,0.9889625867965592,0.8959673254776771,0.8887291571503044,0.7956136997254576,0.01103741320344077,0.20379673461501305,19085,213,4219,16483
VIPER-ConvNeXt-Frozen-MLP,viper_convnext_frozen_lr1e3,logo,frozen,mlp,33,308738,6,0.001,40000,0.9335607899788618,0.9416223074795811,0.14681458356808147,0.808425,0.81396185164084,0.9613615455381784,0.6562167906482466,0.7800074641862601,0.7248830646720013,0.9717069126334336,0.830340735492727,0.8051740998394936,0.6564367882745977,0.028293087366566484,0.34378320935175344,18752,546,7117,13585
VIPER-ConvNeXt-Frozen-MLP,viper_convnext_frozen_lr1e4,logo,frozen,mlp,33,308738,10,0.0001,40000,0.9396664835043421,0.9415911162640866,0.1452503297437588,0.79705,0.8028337592196964,0.9548214543877404,0.638054294271085,0.7649409312022237,0.7136360162042346,0.9676132241683076,0.8214411402428294,0.7931910357225266,0.6362884388354976,0.0323867758316924,0.3619457057289151,18673,625,7493,13209
VIPER-ConvNeXt-Unfrozen-MLP,viper_convnext_unfrozen_lr1e4,logo,unfrozen,mlp,33,26893826,12,0.0001,40000,0.9849609279628597,0.9866669646299822,0.09713217287739659,0.891525,0.8948765293329034,0.9888855691664177,0.7993913631533185,0.8840986190132757,0.821491510853213,0.9903616955124883,0.8980569978619928,0.8910778084376343,0.7999986110101497,0.00963830448751166,0.20060863684668148,19112,186,4153,16549
